ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Year
3976,,Nigeria,Camaroun,12.1089,9.30166,96830.55,2012-08-25,2012-09-26,News,127,20000,Heavy Rain,1.5,2012
3980,,Uganda,,32.726,2.65647,57981.45,2012-08-20,2012-09-07,News,0,15000,Heavy Rain,1.0,2012
3981,,Kenya,,35.8295,1.36637,18459.66,2012-08-15,2012-09-07,News,0,3000,Heavy Rain,1.0,2012
3982,,The Gambia,,-16.1515,13.4093,4747.33,2012-09-02,2012-09-07,News,0,41,Heavy Rain,1.0,2012
3986,,China,,107.186,30.3813,56959.95,2012-09-09,2012-09-18,News,7,0,Heavy Rain,1.5,2012
3988,,Nigeria,,6.33994,5.50441,12538.4,2012-09-15,2012-10-29,News,148,64000,Heavy Rain,2.0,2012
3989,,USA,,-149.932,63.1691,8846.21,2012-09-20,2012-09-26,News,0,2000,Heavy Rain,1.0,2012
3990,,United Kingdom,,-2.13086,54.4062,8507.0,2012-09-23,2012-09-26,News,0,1500,Heavy Rain,1.0,2012
3991,,South Sudan,Sudan,29.586,9.56942,138743.9,2012-09-07,2012-10-03,News,15,3000,Heavy Rain,1.0,2012
3992,,Somalia,,44.8967,4.94456,13753.99,2012-09-22,2012-10-03,News,6,12200,Heavy Rain,1.5,2012
3994,,Niger,,2.95649,14.316,121035.65,2012-09-15,2012-10-15,News,91,0,Heavy Rain,1.0,2012
3995,,Chad,,20.5066,11.0786,86061.68,2012-09-15,2012-10-15,News,0,17000,Heavy Rain,1.0,2012
3998,,Canada,,-84.5569,48.3513,1592.26,2012-10-25,2012-10-29,News,0,700,Heavy Rain,1.5,2012
3999,,South Africa,,26.5615,-32.9367,14489.12,2012-10-24,2012-10-29,News,12,0,Heavy Rain,1.5,2012
4002,,Malaysia,,102.61,2.87071,55785.44,2012-11-04,2012-11-08,News,0,4000,Heavy Rain,1.0,2012
4007,,Argentina,,-59.6252,-27.5025,377212.55,2012-11-20,2012-12-04,News,6,10000,Heavy Rain,1.5,2012
4009,,United Kingdom,,-1.19371,53.4569,106806.88,2012-11-20,2012-12-18,News,4,1700,Heavy Rain,1.0,2012
4010,,Sri Lanka,,80.7759,7.97653,49084.64,2012-12-16,2012-12-18,News,9,6000,Heavy Rain,1.5,2012
4011,,South Africa,,30.1336,-30.568,21010.51,2012-12-11,2012-12-13,News,3,10,Heavy Rain,1.0,2012
4013,,Indonesia,,121.883,-3.86702,67600.2,2013-01-03,2013-01-10,News,8,1000,Heavy Rain,1.0,2013
4016,,Philippines,,125.308,7.25699,51781.98,2013-01-04,2013-01-10,News,0,3180,Heavy Rain,1.0,2013
4018,,Sri Lanka,,80.9219,7.59777,26063.39,2013-01-08,2013-01-17,News,52,56747,Heavy Rain,1.5,2013
4019,,Palestine,Syria,36.4502,32.8398,29142.93,2013-01-08,2013-01-10,News,2,1600,Heavy Rain,1.5,2013
4021,,Malawi,,35.2027,-15.6178,20095.7,2012-11-15,2013-01-22,News,3,3000,Heavy Rain,1.0,2012
4022,,Kenya,,36.5172,0.058024,71113.05,2013-01-13,2013-01-17,News,20,400,Heavy Rain,1.0,2013
4023,,Mozambique,Zimbabwe,32.6773,-24.8006,83155.21,2013-01-17,2013-03-04,News,135,170000,Heavy Rain,1.5,2013
4026,Fl-2013-000014-BWA,Botswana,South Africa,25.0646,-20.3766,198590.48,2013-01-15,2013-02-01,News,0,400,Heavy Rain,1.5,2013
